ID,Target Competitor,Question,GroundTruth,Needs Human Review?,Generated_Answer,Retrieved_Contexts,Latency_Seconds
1,University of Leeds,What is the UCAS code for the Computer Science BSc?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.015622854232788086
2,University of Leeds,How long is the standard BSc degree program?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.013532161712646484
3,University of Leeds,What are the core modules taught in Year 1?,"**University of Leeds (CS303) — Year 1 Core Modules:**

* **COMP1111** Procedural Coding
* **COMP1222** Discrete Mathematics
* Systems Architecture",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.00907754898071289
4,University of Leeds,What are the core modules taught in Year 2?,"**University of Leeds (CS303) — Year 2 Modules:**

* COMP2333 Data Structures
* Software Engineering Paradigms
* Database Systems",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.01354360580444336
5,University of Leeds,How many credits is the final year project worth?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.012041330337524414
6,University of Leeds,Is the program formally accredited by the BCS?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.009546518325805664
7,University of Leeds,What programming languages are taught in the first semester?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.022740840911865234
8,University of Leeds,What are the annual tuition fees for UK students?,"Based on the provided source documentation:

* **Annual Tuition Fee:** £9,250

*Note: The documentation specifies an ""Annual tuition fee is £9,250"" for the course, but it does not explicitly state whether this fee applies specifically to UK students versus International/EU students.*",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.02268838882446289
9,University of Leeds,What are the annual tuition fees for international students?,"* **Annual Tuition Fee Listed:** £9,250
* **Missing Information:** The source documentation does not specify whether this fee applies to international students, nor does it state a separate international student tuition fee rate.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0
10,University of Leeds,What is the cost of the industrial placement year?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.01921677589416504
11,University of Leeds,What are the standard A-level grade requirements?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.02279353141784668
12,University of Leeds,Is A-level Mathematics an absolute requirement?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.007595062255859375
13,University of Leeds,Do you accept BTEC Extended Diplomas?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.00453948974609375
14,University of Leeds,What are the International Baccalaureate (IB) requirements?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0
15,University of Leeds,What are the GCSE English and Math requirements?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.017752885818481445
16,University of Leeds,What is the English language requirement for international students?,Information Not Available in Source Documentation,YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.01202392578125
17,University of Leeds,Do you accept the Duolingo English Test?,"Based on the provided Context Chunks, I can inform you that:

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.011029720306396484
18,University of Leeds,Are there any contextual offer reductions available?,"Based on the provided Context Chunks, here is the output:

• Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.006038188934326172
19,University of Leeds,Do you accept T-Levels for entry onto this course?,"Based on the provided Context Chunks, here is the output:

• Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.004538536071777344
20,University of Leeds,Do applicants have to pass an admissions interview?,"Based on the provided Context Chunks, I found no information regarding admissions interviews for the University of Leeds Computer Science BSc program (CS303). Therefore, my answer is:

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.011044025421142578
21,University of Leeds,Does this program offer a placement year in industry?,"• Yes, the Computer Science BSc program at the University of Leeds offers an optional 12-month sandwich placement program verified across partner firms in tech sectors.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.007532596588134766
22,University of Leeds,Is the placement year guaranteed?,"Based on the provided Context Chunks, here is the output:

• Placement year: Optional 12-month sandwich placement program verified across partner firms in tech sectors. (Chunk 1 & Chunk 2)

Note that there is no explicit statement indicating a guarantee for the placement year. The language used suggests it's an optional program, implying that students may or may not participate in the placement year.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.007033586502075195
23,University of Leeds,Does the university help students find a placement?,"Here is the output:

• According to Chunk 1 and Chunk 2, the University of Leeds offers an Optional 12-month sandwich placement program verified across partner firms in tech sectors. This suggests that the university helps students find placements.

Note: No further information is available regarding the process or support provided by the university for finding placements.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.00553441047668457
24,University of Leeds,What companies do students typically do placements with?,"Here is the output:

• Industrial Placements: Optional 12-month sandwich placement program verified across partner firms in tech sectors.
• No specific company names mentioned, but it's an optional program with partner firms in tech sectors.

Note: Information Not Available in Source Documentation regarding specific companies.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0040416717529296875
25,University of Leeds,Is there a study abroad option for this degree?,"Based on the provided Context Chunks, here is the output:

• Study Abroad Option: Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.015840768814086914
26,University of Leeds,Which partner universities are available for study abroad?,"I'm happy to help! However, I must inform you that the provided Context Chunks do not contain any information about partner universities for study abroad. Therefore, my answer is:

Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.00354766845703125
27,University of Leeds,Can I do both a placement year and a study abroad year?,"Based on the provided Context Chunks, here is the output:

• The University of Leeds (CS303) offers an optional 12-month sandwich placement program verified across partner firms in tech sectors. [Chunk 1 & Chunk 2]
• There is no information available regarding a study abroad year or any potential restrictions on combining it with a placement year.

Please note that Information Not Available in Source Documentation for the specific combination of placement and study abroad years.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0010225772857666016
28,University of Leeds,Will grades from the study abroad year count towards my final degree classification?,"Based on the provided Context Chunks, I found no information regarding whether grades from a study abroad year would count towards your final degree classification. Therefore, my answer is:

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.008540153503417969
29,University of Leeds,Do I pay full tuition fees during the study abroad year?,"Based on the provided Context Chunks, here is the output:

• Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.003545522689819336
30,University of Leeds,Can international students do the industry placement?,"Based on the provided Context Chunks, here is the output:

• According to Chunk 1 and Chunk 2, the University of Leeds (CS303) has an Optional 12-month sandwich placement program verified across partner firms in tech sectors. This suggests that international students can participate in the industry placement.

Note: No specific information about international student eligibility or requirements for the placement is provided in the given Context Chunks.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.020551204681396484
31,University of Leeds,Summarize the differences between Year 1 and Year 3.,"Here is a summary of the differences between Year 1 and Year 3:

**Year 1:**

• COMP1111 Procedural Coding
• COMP1222 Discrete Mathematics
• Systems Architecture

**Year 3:**

• COMP3444 Artificial Intelligence Core
• Distributed Clusters
• Final Year Project

Key differences:
- Year 1 focuses on foundational programming and mathematical concepts, while Year 3 introduces more advanced topics like AI and distributed systems.
- The final year project in Year 3 allows students to apply their knowledge to a real-world problem.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.011091232299804688
32,University of Leeds,List all the optional modules available in Year 3.,"Based on the provided Context Chunks, here is the output:

**Optional Modules for Year 3:**

• None mentioned in the source documentation.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.022696971893310547
33,University of Leeds,What are the assessment methods used on this course?,"Based on the provided Context Chunks, here is the output:

• Assessment methods for Year 1 modules (COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture): Information Not Available in Source Documentation
• Industrial Placements: No assessment methods mentioned as it's an optional program.
• Assessment methods for Year 3 modules (COMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project): Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.011028289794921875
34,University of Leeds,How is the final degree classification weighted across the years?,"Based on the provided Context Chunks, here's the output:

• Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0055463314056396484
35,University of Leeds,What scholarships are specifically available for computer science students?,"Based on the provided Context Chunks, here is the output:

**Scholarships for Computer Science Students:**

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.004540681838989258
36,University of Leeds,What are the specific entry requirements for mature students?,"Based on the provided Context Chunks, here is the output:

**Entry Requirements for Mature Students:**

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.0035393238067626953
37,University of Leeds,Detail the process for transferring into Year 2 from another university.,"Here is the output:

**Transfer Process for Computer Science BSc at University of Leeds (CS303)**

* **Year 1 Modules:** Information Not Available in Source Documentation
* **Industrial Placements:** Optional 12-month sandwich placement program verified across partner firms in tech sectors. No specific information on transfer students.
* **Curriculum Year 2:** COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.

Please note that the source documentation does not provide details on the process for transferring into Year 2 from another university.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.015672922134399414
38,University of Leeds,What hardware or laptop specs are required for the course?,"Based on the provided Context Chunks, here is the output:

• Information Not Available in Source Documentation

No specific information about hardware or laptop specs is mentioned in the provided Context Chunks. The chunks focus on infrastructure and facilities (lab access) and industrial placements (optional sandwich program). There is no mention of required laptop specs for the course.",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.010550498962402344
39,University of Leeds,What dedicated facilities do computer science students have access to?,"Here is the output:

• Access to high-capacity Linux development terminals
• Dedicated robotics environments",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.010296344757080078
40,University of Leeds,Outline the steps to apply through Clearing.,"Here is the output:

**Applying through Clearing**

• Check our website for available places on the Computer Science BSc program (CS303)
• Contact our Admissions Team to discuss your qualifications and suitability for the program
• If eligible, we will guide you through the application process and provide a unique Clearing reference number
• Complete the online application form with your personal details, academic history, and any relevant supporting documents
• Submit your application and wait for our Admissions Team to review and assess your eligibility

**Note:** Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.021163225173950195
41,University of Leeds,Does this program offer a guaranteed study abroad semester in Tokyo?,"Based on the provided Context Chunks, I found no information regarding a guaranteed study abroad semester in Tokyo. Therefore, my output is:

* Information Not Available in Source Documentation",YES,API_ERROR: 401 Client Error: Unauthorized for url: http://127.0.0.1:8000/api/chat,API_ERROR,0.011032581329345703
