University,CUG 2026 - Computer Science (Main Comparison),CUG 2026 - Overall (UK),QS World Ranking 2026,Ranking Source URL (Verification)
University of Birmingham,5,14,76,https://www.birmingham.ac.uk/about/league-tables/the-complete-university-guide-subject-rankings
University of Manchester,12,28,35,https://www.manchester.ac.uk/about/rankings/
University of Sheffield,14,16,92,https://www.sheffield.ac.uk/news/university-sheffield-ranked-within-top-100-universities-qs-world-university-rankings
University of Nottingham,19,26,97,https://www.nottingham.ac.uk/news/university-of-nottingham-proud-to-be-ranked-as-a-world-top-100-university
Lancaster University,21,10,157,https://www.lancaster.ac.uk/about-us/rankings-and-reputation/
University of Leeds,22,21,86,https://www.leeds.ac.uk/news/article/5980/leeds-strengthens-global-top-100-position
Queen Mary University of London,27,41,110,https://www.qmul.ac.uk/media/news/2025/queen-mary-news/pr/queen-mary-recognised-as-top-global-university.html
University of Liverpool,28,23,147,https://news.liverpool.ac.uk/2025/06/19/university-breaks-into-top-150-in-qs-world-rankings-2026/
Newcastle University,32,35,137,https://www.ncl.ac.uk/who-we-are/excellence-impact/rankings/world/
Liverpool John Moores University,62,76,851-900,https://www.topuniversities.com/universities/liverpool-john-moores-university
Manchester Metropolitan University,68,50,643,https://www.mmu.ac.uk/news-and-events/news/story/manchester-metropolitan-world-university-ranking
