id,target_competitor,question,evaluation_query,answer,contexts,ground_truth,confidence_score,should_abstain,faithfulness,answer_relevancy,context_precision,context_recall
1,University of Manchester,What are the core modules taught in Year 1?,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture","[""Institution: University of Manchester\nCourse Code: CS101\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nstudent_support: Student SupportPersonal tutoring, academic advising, and careers support are available throughout the degree.\ncareer_outcomes: Career OutcomesStrong graduate employability with placement and internship pathways, supported by the university careers service.\nentry_requirements_2026: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 12; CUG Overall UK 28; QS World Ranking 35.\nfees_2026: 2026 home fee \u00a39,790 per year; 2027 fees not yet set and expected to increase slightly. Additional compulsory costs above 1% of the annual home fee should be disclosed.\ncourse_data_2026: 2026 Computer Science course units include First Year Team Project, Mathematical Techniques, Fundamentals of Computation, Computer Engineering, Data Science, Computer Architecture, Operating Systems, and Introduction to Programming. Year 2 includes Software Engineering, Programming Languages, Algorithms and Data Structures, with optional Logic, Microcontrollers, and Database Systems. Year 3 has a mandatory 40-credit project and specialist options including AI, robotics, IoT, agile pipelines, and machine learning.""]","Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture",0.6173089078717605,False,0.6863,0.7571,0.6404,0.8254
2,University of Manchester,What are the core modules taught in Year 2?,What are the core modules taught in Year 2?,Year 2 core modules include core programming and discrete math modules.,"[""Institution: University of Manchester\nCourse Code: CS101\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nstudent_support: Student SupportPersonal tutoring, academic advising, and careers support are available throughout the degree.\ncareer_outcomes: Career OutcomesStrong graduate employability with placement and internship pathways, supported by the university careers service.\nentry_requirements_2026: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 12; CUG Overall UK 28; QS World Ranking 35.\nfees_2026: 2026 home fee \u00a39,790 per year; 2027 fees not yet set and expected to increase slightly. Additional compulsory costs above 1% of the annual home fee should be disclosed.\ncourse_data_2026: 2026 Computer Science course units include First Year Team Project, Mathematical Techniques, Fundamentals of Computation, Computer Engineering, Data Science, Computer Architecture, Operating Systems, and Introduction to Programming. Year 2 includes Software Engineering, Programming Languages, Algorithms and Data Structures, with optional Logic, Microcontrollers, and Database Systems. Year 3 has a mandatory 40-credit project and specialist options including AI, robotics, IoT, agile pipelines, and machine learning.""]","Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems",0.7570427460339462,False,0.926,0.784,0.72,0.917
3,University of Manchester,Does this program offer a placement year in industry?,Does this program offer a placement year in industry?,"Yes, a placement year is available.","[""Institution: University of Manchester\nCourse Code: CS101\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nstudent_support: Student SupportPersonal tutoring, academic advising, and careers support are available throughout the degree.\ncareer_outcomes: Career OutcomesStrong graduate employability with placement and internship pathways, supported by the university careers service.\nentry_requirements_2026: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 12; CUG Overall UK 28; QS World Ranking 35.\nfees_2026: 2026 home fee \u00a39,790 per year; 2027 fees not yet set and expected to increase slightly. Additional compulsory costs above 1% of the annual home fee should be disclosed.\ncourse_data_2026: 2026 Computer Science course units include First Year Team Project, Mathematical Techniques, Fundamentals of Computation, Computer Engineering, Data Science, Computer Architecture, Operating Systems, and Introduction to Programming. Year 2 includes Software Engineering, Programming Languages, Algorithms and Data Structures, with optional Logic, Microcontrollers, and Database Systems. Year 3 has a mandatory 40-credit project and specialist options including AI, robotics, IoT, agile pipelines, and machine learning.""]",Yes. Optional 12 month sandwich placement program verified across partner firms in tech sectors,0.6829191547842423,False,1.0,0.9147,0.7684,0.7423
4,University of Manchester,What dedicated facilities do computer science students have access to?,What dedicated facilities do computer science students have access to?,Access to Linux labs and robotics environments is provided.,"[""Institution: University of Manchester\nCourse Code: CS101\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nstudent_support: Student SupportPersonal tutoring, academic advising, and careers support are available throughout the degree.\ncareer_outcomes: Career OutcomesStrong graduate employability with placement and internship pathways, supported by the university careers service.\nentry_requirements_2026: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 12; CUG Overall UK 28; QS World Ranking 35.\nfees_2026: 2026 home fee \u00a39,790 per year; 2027 fees not yet set and expected to increase slightly. Additional compulsory costs above 1% of the annual home fee should be disclosed.\ncourse_data_2026: 2026 Computer Science course units include First Year Team Project, Mathematical Techniques, Fundamentals of Computation, Computer Engineering, Data Science, Computer Architecture, Operating Systems, and Introduction to Programming. Year 2 includes Software Engineering, Programming Languages, Algorithms and Data Structures, with optional Logic, Microcontrollers, and Database Systems. Year 3 has a mandatory 40-credit project and specialist options including AI, robotics, IoT, agile pipelines, and machine learning.""]",Computer science students have access to high capacity Linux development terminals and dedicated robotics environments,0.5608073764043887,False,0.9386,0.901,0.7718,0.8764
5,University of Manchester,What are the standard A-level grade requirements?,What are the standard A-level grade requirements?,"The source documentation states: A level AAA including A in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22","[""Institution: University of Manchester\nCourse Code: CS101\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nstudent_support: Student SupportPersonal tutoring, academic advising, and careers support are available throughout the degree.\ncareer_outcomes: Career OutcomesStrong graduate employability with placement and internship pathways, supported by the university careers service.\nentry_requirements_2026: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 12; CUG Overall UK 28; QS World Ranking 35.\nfees_2026: 2026 home fee \u00a39,790 per year; 2027 fees not yet set and expected to increase slightly. Additional compulsory costs above 1% of the annual home fee should be disclosed.\ncourse_data_2026: 2026 Computer Science course units include First Year Team Project, Mathematical Techniques, Fundamentals of Computation, Computer Engineering, Data Science, Computer Architecture, Operating Systems, and Introduction to Programming. Year 2 includes Software Engineering, Programming Languages, Algorithms and Data Structures, with optional Logic, Microcontrollers, and Database Systems. Year 3 has a mandatory 40-credit project and specialist options including AI, robotics, IoT, agile pipelines, and machine learning.""]","The source documentation states: A level AAA including A in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22",0.5777180550516773,False,0.6079,0.7979,0.732,0.7833
6,Lancaster University,What are the core modules taught in Year 1?,What are the core modules taught in Year 1?,Year 1 core modules include core programming and discrete math modules.,"[""Institution: Lancaster University\nCourse Code: CS202\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nstudent_support: Student SupportAcademic tutors, student wellbeing services, and careers guidance are available throughout the course.\ncareer_outcomes: Career OutcomesGraduates are well prepared for software engineering and data roles with strong sector links.\nentry_requirements_2026: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 21; CUG Overall UK 10; QS World Ranking 157.\nfees_2026: 2027/28 annual tuition: Home \u00a310,050; International fee TBC. The supplied source notes fees are set for a 12-month session and 2026-entry scholarships may be used as a guide.\ncourse_data_2026: Year 1 core study includes Digital Systems, Fundamentals of Computer Science, Software Development, and Designing Software Systems. Year 2 includes a Computer Science Group Project, HCI, Networks and Systems, and Secure Data and Systems. Year 3 includes a Third Year Project and options including machine learning, NLP, quantum computing, secure AI, and distributed systems.""]","Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture",0.4596964762434629,False,0.7717,0.8517,0.8178,0.7596
7,Lancaster University,What are the core modules taught in Year 2?,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems","[""Institution: Lancaster University\nCourse Code: CS202\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nstudent_support: Student SupportAcademic tutors, student wellbeing services, and careers guidance are available throughout the course.\ncareer_outcomes: Career OutcomesGraduates are well prepared for software engineering and data roles with strong sector links.\nentry_requirements_2026: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 21; CUG Overall UK 10; QS World Ranking 157.\nfees_2026: 2027/28 annual tuition: Home \u00a310,050; International fee TBC. The supplied source notes fees are set for a 12-month session and 2026-entry scholarships may be used as a guide.\ncourse_data_2026: Year 1 core study includes Digital Systems, Fundamentals of Computer Science, Software Development, and Designing Software Systems. Year 2 includes a Computer Science Group Project, HCI, Networks and Systems, and Secure Data and Systems. Year 3 includes a Third Year Project and options including machine learning, NLP, quantum computing, secure AI, and distributed systems.""]","Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems",0.5777784236809131,False,0.9644,0.9678,0.6826,0.8214
8,Lancaster University,Does this program offer a placement year in industry?,Does this program offer a placement year in industry?,Yes. Optional 12 month sandwich placement program verified across partner firms in tech sectors,"[""Institution: Lancaster University\nCourse Code: CS202\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nstudent_support: Student SupportAcademic tutors, student wellbeing services, and careers guidance are available throughout the course.\ncareer_outcomes: Career OutcomesGraduates are well prepared for software engineering and data roles with strong sector links.\nentry_requirements_2026: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 21; CUG Overall UK 10; QS World Ranking 157.\nfees_2026: 2027/28 annual tuition: Home \u00a310,050; International fee TBC. The supplied source notes fees are set for a 12-month session and 2026-entry scholarships may be used as a guide.\ncourse_data_2026: Year 1 core study includes Digital Systems, Fundamentals of Computer Science, Software Development, and Designing Software Systems. Year 2 includes a Computer Science Group Project, HCI, Networks and Systems, and Secure Data and Systems. Year 3 includes a Third Year Project and options including machine learning, NLP, quantum computing, secure AI, and distributed systems.""]",Yes. Optional 12 month sandwich placement program verified across partner firms in tech sectors,0.5453609633295834,False,0.7472,0.7808,0.7566,0.7378
9,Lancaster University,What dedicated facilities do computer science students have access to?,What dedicated facilities do computer science students have access to?,Access to Linux labs and robotics environments is provided.,"[""Institution: Lancaster University\nCourse Code: CS202\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nstudent_support: Student SupportAcademic tutors, student wellbeing services, and careers guidance are available throughout the course.\ncareer_outcomes: Career OutcomesGraduates are well prepared for software engineering and data roles with strong sector links.\nentry_requirements_2026: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 21; CUG Overall UK 10; QS World Ranking 157.\nfees_2026: 2027/28 annual tuition: Home \u00a310,050; International fee TBC. The supplied source notes fees are set for a 12-month session and 2026-entry scholarships may be used as a guide.\ncourse_data_2026: Year 1 core study includes Digital Systems, Fundamentals of Computer Science, Software Development, and Designing Software Systems. Year 2 includes a Computer Science Group Project, HCI, Networks and Systems, and Secure Data and Systems. Year 3 includes a Third Year Project and options including machine learning, NLP, quantum computing, secure AI, and distributed systems.""]",Computer science students have access to high capacity Linux development terminals and dedicated robotics environments,0.6187262272405707,False,0.8738,0.8947,0.7776,0.7812
10,Lancaster University,What are the standard A-level grade requirements?,What are the standard A-level grade requirements?,"The source documentation states: A level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component","[""Institution: Lancaster University\nCourse Code: CS202\ncurriculum_year_1: Year 1 ModulesCOMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.\ncurriculum_year_2: Year 2 ModulesCOMP2333 Data Structures, Software Engineering Paradigms, Database Systems.\ncurriculum_year_3: Year 3 ModulesCOMP3444 Artificial Intelligence Core, Distributed Clusters, Final Year Project.\nindustrial_placements: Industrial PlacementsOptional 12-month sandwich placement program verified across partner firms in tech sectors.\ninfrastructure_and_facilities: Lab InfrastructureAccess to high-capacity Linux development terminals and dedicated robotics environments.\nentry_requirements: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nstudent_support: Student SupportAcademic tutors, student wellbeing services, and careers guidance are available throughout the course.\ncareer_outcomes: Career OutcomesGraduates are well prepared for software engineering and data roles with strong sector links.\nentry_requirements_2026: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.\nrankings_2026: 2026 rankings: CUG Computer Science main comparison 21; CUG Overall UK 10; QS World Ranking 157.\nfees_2026: 2027/28 annual tuition: Home \u00a310,050; International fee TBC. The supplied source notes fees are set for a 12-month session and 2026-entry scholarships may be used as a guide.\ncourse_data_2026: Year 1 core study includes Digital Systems, Fundamentals of Computer Science, Software Development, and Designing Software Systems. Year 2 includes a Computer Science Group Project, HCI, Networks and Systems, and Secure Data and Systems. Year 3 includes a Third Year Project and options including machine learning, NLP, quantum computing, secure AI, and distributed systems.""]","The source documentation states: A level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component",0.4807322867737212,False,0.8602,0.7798,0.8092,0.7232
