ID,Target Competitor,Question,GroundTruth,Needs Human Review?
1,University of Manchester,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
2,University of Manchester,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
3,University of Manchester,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
4,University of Manchester,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
5,University of Manchester,What are the standard A-level grade requirements?,"The source documentation states: A-level A*A*A including A* in Mathematics and at least one science subject. Contextual offer AAA. IB 38 overall with 7,7,6 at Higher Level including 7 in Mathematics: Analysis and Approaches. GCSE Mathematics and English Language normally B/6. IELTS 7.0 overall with no component below 6.5; TOEFL iBT 100 overall with no subscore below 22.",YES
6,Lancaster University,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
7,Lancaster University,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
8,Lancaster University,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
9,Lancaster University,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
10,Lancaster University,What are the standard A-level grade requirements?,"The source documentation states: A-level AAB. Applicants with Computing, Computer Science, or Mathematics may be considered for a lower offer. Access to HE: 36 Level 3 credits at Distinction plus 9 at Merit. BTEC Extended Diploma DDD. IB 35 overall with 16 points from the best three Higher Level subjects. GCSE Mathematics 6/B and English Language 4/C. IELTS 6.0 overall with at least 5.5 in each component.",YES
11,University of Leeds,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
12,University of Leeds,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
13,University of Leeds,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
14,University of Leeds,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
15,University of Leeds,What are the standard A-level grade requirements?,The source documentation states: A-level AAA including Mathematics. GCSE English Language grade 4/C or equivalent. EPQ/IPQ may support an AAB offer including Mathematics. Access to Leeds typical offer ABB including A in Mathematics. IB 18 Higher Level points including Mathematics. IELTS 6.0 overall with no component below 5.5.,YES
16,University of Birmingham,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
17,University of Birmingham,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
18,University of Birmingham,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
19,University of Birmingham,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
20,University of Birmingham,What are the standard A-level grade requirements?,"The source documentation states: A-level A*AA including A-level Mathematics grade A. IB 7,6,6 at Higher Level including Mathematics, minimum 32 points overall. BTEC only accepted with other qualifications including A-level Mathematics. Contextual offer AAA including A in Mathematics or Further Mathematics; Pathways to Birmingham ABB including A in Maths or Further Maths. IELTS 6.0 overall with no band below 5.5.",YES
21,University of Nottingham,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
22,University of Nottingham,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
23,University of Nottingham,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
24,University of Nottingham,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
25,University of Nottingham,What are the standard A-level grade requirements?,The source documentation states: A-level BBC (or listed equivalent combinations). Computer Science grade C required if taken. IB Diploma 26 points overall or Higher Level Certificates 554/644. IELTS 6.0 overall with no less than 5.5 in each element. No other requirements listed.,YES
26,University of Sheffield,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
27,University of Sheffield,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
28,University of Sheffield,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
29,University of Sheffield,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
30,University of Sheffield,What are the standard A-level grade requirements?,The source documentation states: Standard A-level offer A*AA including Mathematics; Access Sheffield offer AAA including Mathematics and Computer Science. IB standard 38 with 6 in Higher Level Mathematics; Access Sheffield 36 with the stated Mathematics and Computer Science conditions. GCSE English Language 4/C or IELTS 6.5 overall with at least 6.0 in each component.,YES
31,Newcastle University,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
32,Newcastle University,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
33,Newcastle University,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
34,Newcastle University,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
35,University of Liverpool,What are the core modules taught in Year 1?,"Year 1 core modules include Programming Fundamentals, Discrete Mathematics, and Systems Architecture.",YES
36,University of Liverpool,What are the core modules taught in Year 2?,"Year 2 core modules include Data Structures and Algorithms, Software Engineering, and Database Systems.",YES
37,University of Liverpool,Does this program offer a placement year in industry?,Yes. An optional placement year is available between Years 2 and 3.,YES
38,University of Liverpool,What dedicated facilities do computer science students have access to?,Computer science students have access to dedicated computing labs and specialist software engineering facilities.,YES
39,Liverpool John Moores University,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
40,Liverpool John Moores University,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
41,Liverpool John Moores University,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
42,Liverpool John Moores University,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
43,Manchester Metropolitan University,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
44,Manchester Metropolitan University,What are the core modules taught in Year 2?,"Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.",YES
45,Manchester Metropolitan University,Does this program offer a placement year in industry?,Yes. Optional 12-month sandwich placement program verified across partner firms in tech sectors.,YES
46,Manchester Metropolitan University,What dedicated facilities do computer science students have access to?,Computer science students have access to high-capacity Linux development terminals and dedicated robotics environments.,YES
47,Queen Mary University of London,What are the core modules taught in Year 1?,"Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.",YES
