id,target_competitor,question,evaluation_query,answer,contexts,ground_truth,confidence_score,should_abstain,faithfulness,answer_relevancy,context_precision,context_recall
1,University of Leeds,What is the UCAS code for the Computer Science BSc?,"For the Computer Science BSc at University of Leeds, What is the UCAS code for the Computer Science BSc?","The UCAS codes are CS303 for Leeds, CS606 for Sheffield, and CS505 for Nottingham.","[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.65,False,0.0,0.1667,0.0,0.0
2,University of Leeds,How long is the standard BSc degree program?,"For the Computer Science BSc at University of Leeds, How long is the standard BSc degree program?",The standard duration for the BSc degree is 3 years.,"[""Structured Database Results: duration_years = 3 for Computer Science BSc programs.""]",Information Not Available in Source Documentation.,0.65,False,0.0,0.4167,0.1,0.0
3,University of Leeds,What are the core modules taught in Year 1?,"For the Computer Science BSc at University of Leeds, What are the core modules taught in Year 1?","Year 1 core modules include COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, and Systems Architecture.","[""Context Area [Curriculum Year 1] for University of Nottingham (CS505): Year 1 Modules COMP1111 Procedural Coding, COMP1222 Discrete Mathematics, Systems Architecture.""]",University of Leeds (CS303) — Year 1 Core Modules: COMP1111 Procedural Coding COMP1222 Discrete Mathematics Systems Architecture,0.65,False,0.6667,0.6667,0.7143,0.7692
4,University of Leeds,What are the core modules taught in Year 2?,"For the Computer Science BSc at University of Leeds, What are the core modules taught in Year 2?","Year 2 core modules include COMP2333 Data Structures, Software Engineering Paradigms, and Database Systems.","[""Context Area [Curriculum Year 2] for University of Leeds (CS303): Year 2 Modules COMP2333 Data Structures, Software Engineering Paradigms, Database Systems.""]",University of Leeds (CS303) — Year 2 Modules: COMP2333 Data Structures Software Engineering Paradigms Database Systems,0.65,False,0.6111,0.6111,0.8571,1.0
5,University of Leeds,How many credits is the final year project worth?,"For the Computer Science BSc at University of Leeds, How many credits is the final year project worth?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
6,University of Leeds,Is the program formally accredited by the BCS?,"For the Computer Science BSc at University of Leeds, Is the program formally accredited by the BCS?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
7,University of Leeds,What programming languages are taught in the first semester?,"For the Computer Science BSc at University of Leeds, What programming languages are taught in the first semester?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
8,University of Leeds,What are the annual tuition fees for UK students?,"For the Computer Science BSc at University of Leeds, What are the annual tuition fees for UK students?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]","Annual Tuition Fee: £9,250 Note: The documentation specifies an ""Annual tuition fee is £9,250"" for the course, but it does not explicitly state whether this fee applies specifically to UK students versus International/EU students",0.2,True,0.0606,0.0606,0.0,0.0
9,University of Leeds,What are the annual tuition fees for international students?,"For the Computer Science BSc at University of Leeds, What are the annual tuition fees for international students?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]","Annual Tuition Fee Listed: £9,250 Missing Information: The source documentation does not specify whether this fee applies to international students, nor does it state a separate international student tuition fee rate",0.2,True,0.1379,0.1379,0.0,0.0
10,University of Leeds,What is the cost of the industrial placement year?,"For the Computer Science BSc at University of Leeds, What is the cost of the industrial placement year?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
11,University of Leeds,What are the standard A-level grade requirements?,"For the Computer Science BSc at University of Leeds, What are the standard A-level grade requirements?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
12,University of Leeds,Is A-level Mathematics an absolute requirement?,"For the Computer Science BSc at University of Leeds, Is A-level Mathematics an absolute requirement?",Information Not Available in Source Documentation.,"[""Context snippets for the requested admissions topic are unavailable in offline mode.""]",Information Not Available in Source Documentation.,0.2,True,1.0,1.0,0.0,0.0
